timestamp,available_at,close,volume,realized_volatility,liquidity
2025-01-02T00:00:00Z,2025-01-02T00:00:00Z,100.00000000,1000000.00000000,0.01200000,2500000.00000000
2025-01-03T00:00:00Z,2025-01-03T00:00:00Z,100.47827013,1019618.58648961,0.01222177,2546612.72928854
2025-01-04T00:00:00Z,2025-01-04T00:00:00Z,100.94624385,1039092.14260611,0.01244080,2592903.62877573
2025-01-05T00:00:00Z,2025-01-05T00:00:00Z,101.39403522,1058278.59274965,0.01265439,2638559.78770229
2025-01-06T00:00:00Z,2025-01-06T00:00:00Z,101.81256292,1077041.71066794,0.01285991,2683285.88621488
2025-01-07T00:00:00Z,2025-01-07T00:00:00Z,102.19391228,1095253.89485893,0.01305483,2726812.37972372
2025-01-08T00:00:00Z,2025-01-08T00:00:00Z,102.53165081,1112798.76825734,0.01323674,2768902.96893655
2025-01-09T00:00:00Z,2025-01-09T00:00:00Z,102.82108465,1129573.54924039,0.01340340,2809361.14854776
2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,103.05944568,1145491.14564706,0.01355274,2848035.65309543
2025-01-11T00:00:00Z,2025-01-11T00:00:00Z,103.24600192,1160481.92914833,0.01368294,2884824.64906228
2025-01-12T00:00:00Z,2025-01-12T00:00:00Z,103.38208665,1174495.15381861,0.01379238,2919678.55704262
2025-01-13T00:00:00Z,2025-01-13T00:00:00Z,103.47104532,1187499.99000667,0.01387972,2952601.42576302
2025-01-14T00:00:00Z,2025-01-14T00:00:00Z,103.51810213,1199486.15244299,0.01394388,2983650.81987780
2025-01-15T00:00:00Z,2025-01-15T00:00:00Z,103.53015178,1210464.10978644,0.01398406,3012936.22464882
2025-01-16T00:00:00Z,2025-01-16T00:00:00Z,103.51548460,1220464.87134128,0.01399977,3040616.01172168
2025-01-17T00:00:00Z,2025-01-17T00:00:00Z,103.48345601,1229539.35528976,0.01399082,3066893.05008728
2025-01-18T00:00:00Z,2025-01-18T00:00:00Z,103.44411361,1237757.35131158,0.01395731,3092009.08386451
2025-01-19T00:00:00Z,2025-01-19T00:00:00Z,103.40779657,1245206.09872533,0.01389967,3116238.03271575
2025-01-20T00:00:00Z,2025-01-20T00:00:00Z,103.38472342,1251988.50912003,0.01381859,3139878.40056419
2025-01-21T00:00:00Z,2025-01-21T00:00:00Z,103.38458474,1258221.06968805,0.01371509,3163245.00299434
2025-01-22T00:00:00Z,2025-01-22T00:00:00Z,103.41615676,1264031.46997572,0.01359044,3186660.24259872
2025-01-23T00:00:00Z,2025-01-23T00:00:00Z,103.48695150,1269556.00040299,0.01344617,3210445.17406173
2025-01-24T00:00:00Z,2025-01-24T00:00:00Z,103.60291730,1274936.77555348,0.01328407,3234910.60659882
2025-01-25T00:00:00Z,2025-01-25T00:00:00Z,103.76820170,1280318.83880591,0.01310613,3260348.49033382
2025-01-26T00:00:00Z,2025-01-26T00:00:00Z,103.98498601,1285847.20729589,0.01291455,3287023.82532845
2025-01-27T00:00:00Z,2025-01-27T00:00:00Z,104.25339844,1291663.91741233,0.01271168,3315167.31749328
2025-01-28T00:00:00Z,2025-01-28T00:00:00Z,104.57150895,1297905.13102203,0.01250005,3344968.98491105
2025-01-29T00:00:00Z,2025-01-29T00:00:00Z,104.93540617,1304698.36137876,0.01228224,3376572.89176344
2025-01-30T00:00:00Z,2025-01-30T00:00:00Z,105.33935337,1312159.87523460,0.01206095,3410073.15580314
