timestamp,available_at,expiration,contract,option_type,strike,bid,ask,implied_volatility,open_interest,volume,underlying
2025-01-02T00:00:00Z,2025-01-02T00:00:00Z,2025-02-16T00:00:00Z,ILLUS000C,call,100.00,2.000000,2.150000,0.18000000,500.00,100.00,ILLUS
2025-01-02T00:00:00Z,2025-01-02T00:00:00Z,2025-02-16T00:00:00Z,ILLUS000P,put,100.00,2.000000,2.150000,0.18000000,500.00,100.00,ILLUS
2025-01-03T00:00:00Z,2025-01-03T00:00:00Z,2025-02-17T00:00:00Z,ILLUS001C,call,100.48,2.010000,2.160000,0.18374024,508.00,103.00,ILLUS
2025-01-03T00:00:00Z,2025-01-03T00:00:00Z,2025-02-17T00:00:00Z,ILLUS001P,put,100.48,2.010000,2.160000,0.18374024,508.00,103.00,ILLUS
2025-01-04T00:00:00Z,2025-01-04T00:00:00Z,2025-02-18T00:00:00Z,ILLUS002C,call,100.95,2.020000,2.170000,0.18742212,516.00,106.00,ILLUS
2025-01-04T00:00:00Z,2025-01-04T00:00:00Z,2025-02-18T00:00:00Z,ILLUS002P,put,100.95,2.020000,2.170000,0.18742212,516.00,106.00,ILLUS
2025-01-05T00:00:00Z,2025-01-05T00:00:00Z,2025-02-19T00:00:00Z,ILLUS003C,call,101.39,2.030000,2.180000,0.19098818,524.00,109.00,ILLUS
2025-01-05T00:00:00Z,2025-01-05T00:00:00Z,2025-02-19T00:00:00Z,ILLUS003P,put,101.39,2.030000,2.180000,0.19098818,524.00,109.00,ILLUS
2025-01-06T00:00:00Z,2025-01-06T00:00:00Z,2025-02-20T00:00:00Z,ILLUS004C,call,101.81,2.040000,2.190000,0.19438277,532.00,112.00,ILLUS
2025-01-06T00:00:00Z,2025-01-06T00:00:00Z,2025-02-20T00:00:00Z,ILLUS004P,put,101.81,2.040000,2.190000,0.19438277,532.00,112.00,ILLUS
2025-01-07T00:00:00Z,2025-01-07T00:00:00Z,2025-02-21T00:00:00Z,ILLUS005C,call,102.19,2.050000,2.200000,0.19755292,540.00,115.00,ILLUS
2025-01-07T00:00:00Z,2025-01-07T00:00:00Z,2025-02-21T00:00:00Z,ILLUS005P,put,102.19,2.050000,2.200000,0.19755292,540.00,115.00,ILLUS
2025-01-08T00:00:00Z,2025-01-08T00:00:00Z,2025-02-22T00:00:00Z,ILLUS006C,call,102.53,2.060000,2.210000,0.20044916,548.00,118.00,ILLUS
2025-01-08T00:00:00Z,2025-01-08T00:00:00Z,2025-02-22T00:00:00Z,ILLUS006P,put,102.53,2.060000,2.210000,0.20044916,548.00,118.00,ILLUS
2025-01-09T00:00:00Z,2025-01-09T00:00:00Z,2025-02-23T00:00:00Z,ILLUS007C,call,102.82,2.070000,2.220000,0.20302631,556.00,121.00,ILLUS
2025-01-09T00:00:00Z,2025-01-09T00:00:00Z,2025-02-23T00:00:00Z,ILLUS007P,put,102.82,2.070000,2.220000,0.20302631,556.00,121.00,ILLUS
2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,2025-02-24T00:00:00Z,ILLUS008C,call,103.06,2.080000,2.230000,0.20524413,564.00,124.00,ILLUS
2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,2025-02-24T00:00:00Z,ILLUS008P,put,103.06,2.080000,2.230000,0.20524413,564.00,124.00,ILLUS
2025-01-11T00:00:00Z,2025-01-11T00:00:00Z,2025-02-25T00:00:00Z,ILLUS009C,call,103.25,2.090000,2.240000,0.20706803,572.00,127.00,ILLUS
2025-01-11T00:00:00Z,2025-01-11T00:00:00Z,2025-02-25T00:00:00Z,ILLUS009P,put,103.25,2.090000,2.240000,0.20706803,572.00,127.00,ILLUS
2025-01-12T00:00:00Z,2025-01-12T00:00:00Z,2025-02-26T00:00:00Z,ILLUS010C,call,103.38,2.100000,2.250000,0.20846954,580.00,130.00,ILLUS
2025-01-12T00:00:00Z,2025-01-12T00:00:00Z,2025-02-26T00:00:00Z,ILLUS010P,put,103.38,2.100000,2.250000,0.20846954,580.00,130.00,ILLUS
2025-01-13T00:00:00Z,2025-01-13T00:00:00Z,2025-02-27T00:00:00Z,ILLUS011C,call,103.47,2.110000,2.260000,0.20942679,588.00,133.00,ILLUS
2025-01-13T00:00:00Z,2025-01-13T00:00:00Z,2025-02-27T00:00:00Z,ILLUS011P,put,103.47,2.110000,2.260000,0.20942679,588.00,133.00,ILLUS
2025-01-14T00:00:00Z,2025-01-14T00:00:00Z,2025-02-28T00:00:00Z,ILLUS012C,call,103.52,2.120000,2.270000,0.20992485,596.00,136.00,ILLUS
2025-01-14T00:00:00Z,2025-01-14T00:00:00Z,2025-02-28T00:00:00Z,ILLUS012P,put,103.52,2.120000,2.270000,0.20992485,596.00,136.00,ILLUS
2025-01-15T00:00:00Z,2025-01-15T00:00:00Z,2025-03-01T00:00:00Z,ILLUS013C,call,103.53,2.130000,2.280000,0.20995594,604.00,139.00,ILLUS
2025-01-15T00:00:00Z,2025-01-15T00:00:00Z,2025-03-01T00:00:00Z,ILLUS013P,put,103.53,2.130000,2.280000,0.20995594,604.00,139.00,ILLUS
2025-01-16T00:00:00Z,2025-01-16T00:00:00Z,2025-03-02T00:00:00Z,ILLUS014C,call,103.52,2.140000,2.290000,0.20951958,612.00,142.00,ILLUS
